Date,Mean Temperature,Max Temperature,Min Temperature
1996/1/1,23,60,-11
1996/2/1,26,57,-18
1996/3/1,31,63,1
1996/4/1,45,81,21
1996/5/1,55,90,34
1996/6/1,68,91,45
1996/7/1,70,91,51
1996/8/1,72,98,57
1996/9/1,63,87,42
1996/10/1,52,78,26
1996/11/1,33,63,14
1996/12/1,27,52,1
1997/1/1,19,64,-9
1997/2/1,29,55,12
1997/3/1,38,73,12
1997/4/1,45,73,21
1997/5/1,54,84,35
1997/6/1,69,93,44
1997/7/1,73,97,51
1997/8/1,69,91,53
1997/9/1,64,86,45
1997/10/1,53,88,25
1997/11/1,36,57,16
1997/12/1,31,48,12
1998/1/1,29,57,0
1998/2/1,39,62,26
1998/3/1,39,79,10
1998/4/1,50,75,30
1998/5/1,65,90,48
1998/6/1,69,95,43
1998/7/1,74,93,57
1998/8/1,74,90,57
1998/9/1,68,91,45
1998/10/1,55,80,34
1998/11/1,45,68,26
1998/12/1,35,66,1
1999/1/1,23,48,-15
1999/2/1,34,69,14
1999/3/1,36,72,15
1999/4/1,49,77,33
1999/5/1,62,87,39
1999/6/1,70,91,46
1999/7/1,78,100,54
1999/8/1,71,90,54
1999/9/1,63,91,40
1999/10/1,53,80,28
1999/11/1,45,73,21
1999/12/1,30,57,1
2000/1/1,25,60,-2
2000/2/1,28,49,10
2000/3/1,45,77,21
2000/4/1,48,75,26
2000/5/1,63,86,39
2000/6/1,69,88,52
2000/7/1,71,89,54
2000/8/1,73,91,54
2000/9/1,65,93,42
2000/10/1,56,82,30
2000/11/1,37,73,14
2000/12/1,16,36,-9
2001/1/1,25,42,6
2001/2/1,26,55,0
2001/3/1,34,55,16
2001/4/1,53,84,28
2001/5/1,60,89,39
2001/6/1,67,91,46
2001/7/1,75,95,51
2001/8/1,73,95,57
2001/9/1,62,87,39
2001/10/1,52,80,30
2001/11/1,49,68,28
2001/12/1,33,68,6
2002/1/1,32,59,10
2002/2/1,32,61,9
2002/3/1,34,64,-6
2002/4/1,50,89,25
2002/5/1,55,86,33
2002/6/1,71,93,46
2002/7/1,77,96,57
2002/8/1,73,93,54
2002/9/1,68,91,39
2002/10/1,49,82,30
2002/11/1,38,63,15
2002/12/1,30,60,9
2003/1/1,21,54,-4
2003/2/1,23,50,0
2003/3/1,37,73,1
2003/4/1,48,86,26
2003/5/1,56,84,37
2003/6/1,65,91,39
2003/7/1,72,93,53
2003/8/1,74,95,59
2003/9/1,63,86,39
2003/10/1,52,84,32
2003/11/1,42,69,21
2003/12/1,32,53,10
2004/1/1,20,60,-8
2004/2/1,28,61,1
2004/3/1,41,73,15
2004/4/1,51,86,28
2004/5/1,60,88,33
2004/6/1,67,91,46
2004/7/1,71,90,54
2004/8/1,68,90,48
2004/9/1,67,86,39
2004/10/1,54,75,30
2004/11/1,44,64,21
2004/12/1,29,55,-2
2005/1/1,25,62,1
2005/2/1,32,55,10
2005/3/1,35,75,13
2005/4/1,52,82,32
